total_files,burst_files,total_size,burst_size,total_duration,burst_config_duration,burst_current_duration,burst_pause,burst_config_rate,burst_current_rate,algorithm
8,8,729846,729846,1035.919,0,10.028,0,0.0,704.540,AES-CTR
8,8,736790,736790,1045.947,0,10.024,0,0.0,704.424,AES-CTR
8,8,743574,743574,1055.957,0,10.008,0,0.0,704.171,AES-CTR
8,8,750246,750246,1065.989,0,10.031,0,0.0,703.802,AES-CTR
8,8,753862,753862,1076.161,0,10.170,0,0.0,700.510,AES-CTR
8,8,754102,754102,1086.259,0,10.095,0,0.0,694.220,AES-CTR
8,8,754838,754838,1096.471,0,10.212,0,0.0,688.425,AES-CTR
8,8,755494,755494,1106.498,0,10.026,0,0.0,682.779,AES-CTR
8,8,756822,756822,1116.507,0,10.008,0,0.0,677.848,AES-CTR
8,8,763478,763478,1126.512,0,10.004,0,0.0,677.736,AES-CTR
9,9,770960,770960,1136.529,0,10.010,0,0.0,678.346,AES-CTR
9,9,778544,778544,1146.556,0,10.026,0,0.0,679.028,AES-CTR
9,9,785072,785072,1156.573,0,10.015,0,0.0,678.792,AES-CTR
10,10,792370,792370,1166.579,0,10.005,0,0.0,679.225,AES-CTR
10,10,799602,799602,1176.606,0,10.024,0,0.0,679.584,AES-CTR
10,10,805826,805826,1186.612,0,10.005,0,0.0,679.098,AES-CTR
10,10,813106,813106,1196.643,0,10.025,0,0.0,679.489,AES-CTR
10,10,820690,820690,1206.656,0,10.011,0,0.0,680.136,AES-CTR
10,10,828338,828338,1216.678,0,10.021,0,0.0,680.819,AES-CTR
10,10,835106,835106,1226.699,0,10.019,0,0.0,680.775,AES-CTR
10,10,842178,842178,1236.708,0,10.007,0,0.0,680.983,AES-CTR
10,10,849810,849810,1246.731,0,10.019,0,0.0,681.630,AES-CTR
10,10,856482,856482,1256.748,0,10.015,0,0.0,681.506,AES-CTR
11,11,863074,863074,1266.766,0,10.016,0,0.0,681.321,AES-CTR
11,11,869682,869682,1276.786,0,10.019,0,0.0,681.149,AES-CTR
11,11,876338,876338,1286.799,0,10.011,0,0.0,681.022,AES-CTR
11,11,879250,879250,1297.351,0,10.549,0,0.0,677.727,AES-CTR
11,11,879714,879714,1310.970,0,13.617,0,0.0,671.041,AES-CTR
11,11,884338,884338,1320.975,0,10.004,0,0.0,669.458,AES-CTR
11,11,890994,890994,1331.007,0,10.030,0,0.0,669.413,AES-CTR
11,11,897698,897698,1341.015,0,10.006,0,0.0,669.417,AES-CTR
11,11,904258,904258,1351.034,0,10.017,0,0.0,669.308,AES-CTR
12,12,911042,911042,1361.043,0,10.007,0,0.0,669.370,AES-CTR
12,12,917906,917906,1371.047,0,10.002,0,0.0,669.493,AES-CTR
12,12,924562,924562,1381.089,0,10.041,0,0.0,669.444,AES-CTR
12,12,931314,931314,1391.095,0,10.005,0,0.0,669.482,AES-CTR
12,12,938130,938130,1401.099,0,10.002,0,0.0,669.567,AES-CTR
12,12,945090,945090,1411.127,0,10.026,0,0.0,669.741,AES-CTR
12,12,951602,951602,1421.139,0,10.010,0,0.0,669.605,AES-CTR
12,12,958290,958290,1431.173,0,10.034,0,0.0,669.583,AES-CTR
12,12,965330,965330,1441.189,0,10.013,0,0.0,669.815,AES-CTR
12,12,972114,972114,1451.211,0,10.020,0,0.0,669.864,AES-CTR
12,12,978914,978914,1461.239,0,10.027,0,0.0,669.920,AES-CTR
12,12,985490,985490,1471.256,0,10.015,0,0.0,669.829,AES-CTR
12,12,992274,992274,1481.266,0,10.008,0,0.0,669.882,AES-CTR
12,12,999266,999266,1491.275,0,10.008,0,0.0,670.075,AES-CTR
12,12,1006210,1006210,1501.283,0,10.007,0,0.0,670.234,AES-CTR
12,12,1012898,1012898,1511.295,0,10.011,0,0.0,670.219,AES-CTR
12,12,1019570,1019570,1521.315,0,10.019,0,0.0,670.190,AES-CTR
12,12,1026482,1026482,1531.325,0,10.009,0,0.0,670.323,AES-CTR
12,12,1033090,1033090,1541.348,0,10.021,0,0.0,670.251,AES-CTR
12,12,1039890,1039890,1551.358,0,10.008,0,0.0,670.310,AES-CTR
12,12,1047042,1047042,1561.370,0,10.011,0,0.0,670.592,AES-CTR
12,12,1053970,1053970,1571.377,0,10.006,0,0.0,670.730,AES-CTR
12,12,1060370,1060370,1581.411,0,10.017,0,0.0,670.521,AES-CTR
12,12,1067298,1067298,1591.440,0,10.026,0,0.0,670.649,AES-CTR
12,12,1073954,1073954,1601.464,0,10.023,0,0.0,670.608,AES-CTR
12,12,1080738,1080738,1611.470,0,10.001,0,0.0,670.654,AES-CTR
12,12,1087506,1087506,1621.479,0,10.008,0,0.0,670.688,AES-CTR
12,12,1094466,1094466,1631.482,0,10.000,0,0.0,670.842,AES-CTR
12,12,1100930,1100930,1641.496,0,10.013,0,0.0,670.687,AES-CTR
12,12,1107906,1107906,1651.502,0,10.005,0,0.0,670.847,AES-CTR
12,12,1115250,1115250,1661.523,0,10.020,0,0.0,671.221,AES-CTR
12,12,1123186,1123186,1671.527,0,10.002,0,0.0,671.952,AES-CTR
12,12,1130370,1130370,1681.543,0,10.014,0,0.0,672.222,AES-CTR
12,12,1137826,1137826,1691.572,0,10.027,0,0.0,672.644,AES-CTR
12,12,1145154,1145154,1701.586,0,10.012,0,0.0,672.992,AES-CTR
12,12,1152162,1152162,1711.597,0,10.009,0,0.0,673.150,AES-CTR
12,12,1158818,1158818,1721.598,0,10.000,0,0.0,673.106,AES-CTR
12,12,1161538,1161538,1731.919,0,10.319,0,0.0,670.665,AES-CTR
12,12,1164978,1164978,1749.720,0,17.799,0,0.0,665.808,AES-CTR
12,12,1167602,1167602,1759.723,0,10.003,0,0.0,663.514,AES-CTR
12,12,1174274,1174274,1769.733,0,10.008,0,0.0,663.532,AES-CTR
12,12,1180994,1180994,1779.739,0,10.004,0,0.0,663.577,AES-CTR
12,12,1188210,1188210,1789.751,0,10.010,0,0.0,663.897,AES-CTR
12,12,1195794,1195794,1799.770,0,10.018,0,0.0,664.415,AES-CTR
12,12,1202322,1202322,1809.775,0,10.003,0,0.0,664.349,AES-CTR
12,12,1209090,1209090,1819.787,0,10.011,0,0.0,664.413,AES-CTR
12,12,1215650,1215650,1829.796,0,10.007,0,0.0,664.364,AES-CTR
12,12,1222242,1222242,1839.802,0,10.005,0,0.0,664.333,AES-CTR
12,12,1228722,1228722,1849.842,0,10.039,0,0.0,664.231,AES-CTR
12,12,1235666,1235666,1859.875,0,10.030,0,0.0,664.381,AES-CTR
12,12,1242242,1242242,1869.906,0,10.029,0,0.0,664.334,AES-CTR
12,12,1248866,1248866,1879.927,0,10.019,0,0.0,664.316,AES-CTR
12,12,1255346,1255346,1889.953,0,10.024,0,0.0,664.221,AES-CTR
12,12,1262194,1262194,1899.963,0,10.008,0,0.0,664.326,AES-CTR
12,12,1268962,1268962,1909.987,0,10.021,0,0.0,664.383,AES-CTR
12,12,1275794,1275794,1920.001,0,10.012,0,0.0,664.476,AES-CTR
12,12,1282386,1282386,1930.009,0,10.007,0,0.0,664.446,AES-CTR
12,12,1288610,1288610,1940.021,0,10.011,0,0.0,664.225,AES-CTR
12,12,1295314,1295314,1950.050,0,10.027,0,0.0,664.247,AES-CTR
12,12,1301682,1301682,1960.077,0,10.025,0,0.0,664.097,AES-CTR
12,12,1308194,1308194,1970.083,0,10.003,0,0.0,664.030,AES-CTR
12,12,1314834,1314834,1980.319,0,10.235,0,0.0,663.951,AES-CTR
12,12,1321442,1321442,1990.328,0,10.008,0,0.0,663.932,AES-CTR
12,12,1328114,1328114,2000.331,0,10.002,0,0.0,663.947,AES-CTR
12,12,1334642,1334642,2010.339,0,10.006,0,0.0,663.889,AES-CTR
12,12,1341090,1341090,2020.341,0,10.001,0,0.0,663.794,AES-CTR
12,12,1347698,1347698,2030.360,0,10.017,0,0.0,663.773,AES-CTR
12,12,1354450,1354450,2040.371,0,10.009,0,0.0,663.825,AES-CTR
12,12,1360994,1360994,2050.390,0,10.017,0,0.0,663.773,AES-CTR
12,12,1367570,1367570,2060.410,0,10.019,0,0.0,663.737,AES-CTR
12,12,1374050,1374050,2070.421,0,10.010,0,0.0,663.657,AES-CTR
12,12,1381026,1381026,2080.450,0,10.027,0,0.0,663.811,AES-CTR
12,12,1387490,1387490,2090.475,0,10.024,0,0.0,663.720,AES-CTR
12,12,1394722,1394722,2100.481,0,10.001,0,0.0,664.001,AES-CTR
12,12,1401554,1401554,2110.495,0,10.013,0,0.0,664.088,AES-CTR
12,12,1408130,1408130,2120.510,0,10.014,0,0.0,664.052,AES-CTR
12,12,1414610,1414610,2130.537,0,10.023,0,0.0,663.969,AES-CTR
12,12,1421218,1421218,2140.581,0,10.042,0,0.0,663.940,AES-CTR
12,12,1427778,1427778,2150.593,0,10.010,0,0.0,663.900,AES-CTR
12,12,1434834,1434834,2160.600,0,10.006,0,0.0,664.091,AES-CTR
12,12,1441522,1441522,2170.615,0,10.013,0,0.0,664.108,AES-CTR
12,12,1448146,1448146,2180.634,0,10.016,0,0.0,664.094,AES-CTR
12,12,1454834,1454834,2190.650,0,10.015,0,0.0,664.111,AES-CTR
12,12,1461730,1461730,2200.659,0,10.008,0,0.0,664.224,AES-CTR
12,12,1469186,1469186,2210.680,0,10.019,0,0.0,664.586,AES-CTR
12,12,1474338,1474338,2221.623,0,10.941,0,0.0,663.631,AES-CTR
12,12,1474450,1474450,2231.947,0,10.323,0,0.0,660.612,AES-CTR
12,12,1478210,1478210,2241.971,0,10.022,0,0.0,659.335,AES-CTR
12,12,1484722,1484722,2252.001,0,10.027,0,0.0,659.290,AES-CTR
12,12,1492338,1492338,2262.014,0,10.012,0,0.0,659.738,AES-CTR
12,12,1499778,1499778,2272.022,0,10.006,0,0.0,660.107,AES-CTR
12,12,1512498,1512498,2282.023,0,10.000,0,0.0,662.788,AES-CTR
12,12,1521666,1521666,2292.052,0,10.026,0,0.0,663.888,AES-CTR
